gate_id,capability_id,gate_name,gate_status,risk_level,owner,due_date,evidence_required,blocker
REL011-QA,REL011,QA,Block,High,QA Lead,2026-06-04,"Functional, regression, and role-based test evidence is available.",Rollback note incomplete
REL011-PACKAGE,REL011,Package,Block,High,DevOps,2026-06-09,"Managed solution package, deployment notes, and dependencies are validated.",Training sign-off pending
REL011-ROLLOUT,REL011,Rollout,Block,High,Training,2026-06-14,"Training, support handoff, release notes, and adoption checks are ready.",Dependency owner not confirmed
REL012-BACKLOG,REL012,Backlog,Block,High,Support,2026-05-22,"User story is refined, estimated, and mapped to acceptance criteria.",Open ServiceNow release item
REL012-BUILD,REL012,Build,Block,High,Product Owner,2026-06-01,"Feature branch, configuration, and test data are ready for sprint execution.",Dependency owner not confirmed
REL012-QA,REL012,QA,Block,High,Product Owner,2026-05-28,"Functional, regression, and role-based test evidence is available.",Missing acceptance evidence
REL012-PACKAGE,REL012,Package,Block,High,Product Owner,2026-06-06,"Managed solution package, deployment notes, and dependencies are validated.",Rollback note incomplete
REL012-ROLLOUT,REL012,Rollout,Block,High,Training,2026-06-16,"Training, support handoff, release notes, and adoption checks are ready.",Training sign-off pending
REL013-BACKLOG,REL013,Backlog,Watch,Medium,QA Lead,2026-05-28,"User story is refined, estimated, and mapped to acceptance criteria.",Rollback note incomplete
REL013-BUILD,REL013,Build,Watch,Medium,Training,2026-05-28,"Feature branch, configuration, and test data are ready for sprint execution.",Dependency owner not confirmed
REL013-QA,REL013,QA,Watch,Medium,DevOps,2026-05-28,"Functional, regression, and role-based test evidence is available.",Missing acceptance evidence
REL013-PACKAGE,REL013,Package,Watch,Medium,DevOps,2026-06-04,"Managed solution package, deployment notes, and dependencies are validated.",Missing acceptance evidence
REL013-ROLLOUT,REL013,Rollout,Block,High,Product Owner,2026-06-17,"Training, support handoff, release notes, and adoption checks are ready.",Dependency owner not confirmed
REL014-BUILD,REL014,Build,Watch,Medium,Training,2026-06-01,"Feature branch, configuration, and test data are ready for sprint execution.",Dependency owner not confirmed
REL014-QA,REL014,QA,Watch,Medium,DevOps,2026-06-01,"Functional, regression, and role-based test evidence is available.",Open ServiceNow release item
REL014-PACKAGE,REL014,Package,Watch,Medium,QA Lead,2026-06-05,"Managed solution package, deployment notes, and dependencies are validated.",Missing acceptance evidence
REL014-ROLLOUT,REL014,Rollout,Watch,Medium,Training,2026-06-17,"Training, support handoff, release notes, and adoption checks are ready.",Missing acceptance evidence
REL015-ROLLOUT,REL015,Rollout,Watch,Medium,DevOps,2026-06-07,"Training, support handoff, release notes, and adoption checks are ready.",Dependency owner not confirmed
REL016-BACKLOG,REL016,Backlog,Block,High,QA Lead,2026-05-21,"User story is refined, estimated, and mapped to acceptance criteria.",Rollback note incomplete
REL016-BUILD,REL016,Build,Block,High,Support,2026-05-29,"Feature branch, configuration, and test data are ready for sprint execution.",Missing acceptance evidence
REL016-QA,REL016,QA,Block,High,Training,2026-05-31,"Functional, regression, and role-based test evidence is available.",Open ServiceNow release item
REL016-PACKAGE,REL016,Package,Block,High,DevOps,2026-06-03,"Managed solution package, deployment notes, and dependencies are validated.",Rollback note incomplete
REL016-ROLLOUT,REL016,Rollout,Block,High,DevOps,2026-06-14,"Training, support handoff, release notes, and adoption checks are ready.",Open ServiceNow release item
REL017-BACKLOG,REL017,Backlog,Watch,Medium,DevOps,2026-05-26,"User story is refined, estimated, and mapped to acceptance criteria.",Rollback note incomplete
REL017-BUILD,REL017,Build,Block,High,QA Lead,2026-05-28,"Feature branch, configuration, and test data are ready for sprint execution.",Open ServiceNow release item
REL017-QA,REL017,QA,Block,High,Support,2026-06-03,"Functional, regression, and role-based test evidence is available.",Dependency owner not confirmed
REL017-PACKAGE,REL017,Package,Block,High,Training,2026-06-07,"Managed solution package, deployment notes, and dependencies are validated.",Rollback note incomplete
REL017-ROLLOUT,REL017,Rollout,Block,High,Support,2026-06-13,"Training, support handoff, release notes, and adoption checks are ready.",Training sign-off pending
REL018-BACKLOG,REL018,Backlog,Watch,Medium,Training,2026-05-19,"User story is refined, estimated, and mapped to acceptance criteria.",Rollback note incomplete
REL018-BUILD,REL018,Build,Block,High,DevOps,2026-06-02,"Feature branch, configuration, and test data are ready for sprint execution.",Rollback note incomplete
REL018-QA,REL018,QA,Block,High,Training,2026-06-05,"Functional, regression, and role-based test evidence is available.",Training sign-off pending
REL018-PACKAGE,REL018,Package,Block,High,DevOps,2026-06-10,"Managed solution package, deployment notes, and dependencies are validated.",Missing acceptance evidence
REL018-ROLLOUT,REL018,Rollout,Block,High,Support,2026-06-12,"Training, support handoff, release notes, and adoption checks are ready.",Dependency owner not confirmed
