story_id,capability_id,story_type,summary,persona,agile_state,priority,value_score,story_readiness_pct,acceptance_criteria_count,dependency,target_sprint,effort_points,qa_status,acceptance_decision
ADO-0049,REL008,Feature,"As a support lead, I need to validate rollback trigger for passenger document checklist.",Support lead,Ready,P1,74.9,75.0,6,None,Sprint 13,3,Passed,Clarify
ADO-0050,REL008,Epic,"As a tour operations specialist, I need to confirm acceptance criteria for passenger document checklist.",Tour operations specialist,Accepted,P0,79.7,100,8,Business sign-off,Sprint 14,13,Needs rework,Ready for sprint
ADO-0051,REL008,Enabler,"As a tour operations specialist, I need to validate rollback trigger for passenger document checklist.",Tour operations specialist,In QA,P2,71.5,89.1,4,Dynamics config,Sprint 15,5,Not started,Needs dependency
ADO-0052,REL009,User Story,"As a traveler, I need to complete training readiness for supplier schedule change alerts.",Traveler,Accepted,P2,64.3,79.1,3,Dynamics config,Sprint 16,8,In progress,Clarify
ADO-0053,REL009,User Story,"As a support lead, I need to publish stakeholder update for supplier schedule change alerts.",Support lead,Committed,P0,66.5,69.8,3,Training owner,Sprint 17,3,In progress,Needs dependency
ADO-0054,REL009,User Story,"As a tour operations specialist, I need to prioritize enhancement request for supplier schedule change alerts.",Tour operations specialist,Ready,P1,55.8,68.7,6,Business sign-off,Sprint 12,13,Not started,Clarify
ADO-0055,REL009,Enabler,"As a travel advisor, I need to capture exception evidence for supplier schedule change alerts.",Travel advisor,Accepted,P2,81.7,84.4,6,ServiceNow mapping,Sprint 13,3,In progress,Defer
ADO-0056,REL009,User Story,"As a traveler, I need to complete training readiness for supplier schedule change alerts.",Traveler,In QA,P0,81.2,37.1,5,None,Sprint 14,8,Needs rework,Needs dependency
ADO-0057,REL009,User Story,"As a product owner, I need to confirm acceptance criteria for supplier schedule change alerts.",Product owner,Accepted,P1,83.3,77.2,7,ServiceNow mapping,Sprint 15,3,Needs rework,Ready for sprint
ADO-0058,REL010,User Story,"As a business sponsor, I need to capture exception evidence for final payment reminder automation.",Business sponsor,New,P1,85.6,100,4,Dynamics config,Sprint 16,5,Not started,Clarify
ADO-0059,REL010,Feature,"As a reservations agent, I need to review release impact for final payment reminder automation.",Reservations agent,New,P2,88.7,100,5,ServiceNow mapping,Sprint 17,5,Passed,Clarify
ADO-0060,REL010,Feature,"As a tour operations specialist, I need to validate rollback trigger for final payment reminder automation.",Tour operations specialist,Ready,P0,71.8,100,8,Business sign-off,Sprint 12,13,In progress,Needs dependency
ADO-0061,REL010,User Story,"As a reservations agent, I need to complete training readiness for final payment reminder automation.",Reservations agent,Ready,P0,80.1,79.8,2,ServiceNow mapping,Sprint 13,2,Passed,Clarify
ADO-0062,REL010,Epic,"As a travel advisor, I need to complete training readiness for final payment reminder automation.",Travel advisor,Committed,P1,67.8,85.4,2,None,Sprint 14,5,Needs rework,Needs dependency
ADO-0063,REL010,User Story,"As a travel advisor, I need to validate rollback trigger for final payment reminder automation.",Travel advisor,Refining,P1,100,94.1,6,QA data,Sprint 15,8,Needs rework,Clarify
ADO-0064,REL010,User Story,"As a travel advisor, I need to capture exception evidence for final payment reminder automation.",Travel advisor,In QA,P1,79.1,100,7,Training owner,Sprint 16,13,Needs rework,Defer
ADO-0065,REL010,User Story,"As a reservations agent, I need to complete training readiness for final payment reminder automation.",Reservations agent,Committed,P1,88.2,95.5,8,Business sign-off,Sprint 17,8,Needs rework,Clarify
ADO-0066,REL010,Feature,"As a product owner, I need to prioritize enhancement request for final payment reminder automation.",Product owner,Accepted,P1,84.7,100,2,Dynamics config,Sprint 12,5,Not started,Clarify
ADO-0067,REL011,Enabler,"As a reservations agent, I need to validate rollback trigger for group booking special request intake.",Reservations agent,Committed,P0,92.6,41.0,5,QA data,Sprint 13,5,In progress,Ready for sprint
ADO-0068,REL011,Feature,"As a reservations agent, I need to validate rollback trigger for group booking special request intake.",Reservations agent,Refining,P0,76.6,51.9,6,QA data,Sprint 14,3,Passed,Clarify
ADO-0069,REL011,User Story,"As a tour operations specialist, I need to review release impact for group booking special request intake.",Tour operations specialist,Ready,P0,100,51.8,4,ServiceNow mapping,Sprint 15,2,Not started,Defer
ADO-0070,REL011,User Story,"As a business sponsor, I need to prioritize enhancement request for group booking special request intake.",Business sponsor,Accepted,P0,87.5,41.1,7,None,Sprint 16,13,Passed,Accept
ADO-0071,REL011,User Story,"As a support lead, I need to route escalation for group booking special request intake.",Support lead,Committed,P1,78.5,43.2,5,None,Sprint 17,8,Passed,Defer
ADO-0072,REL011,Feature,"As a training coordinator, I need to review release impact for group booking special request intake.",Training coordinator,Accepted,P2,87.4,46.3,7,QA data,Sprint 12,2,Not started,Clarify
ADO-0073,REL011,Enabler,"As a travel advisor, I need to confirm acceptance criteria for group booking special request intake.",Travel advisor,Accepted,P2,74.9,31.2,9,Training owner,Sprint 13,5,Needs rework,Ready for sprint
ADO-0074,REL011,Feature,"As a travel advisor, I need to capture exception evidence for group booking special request intake.",Travel advisor,In QA,P2,63.6,67.6,7,Business sign-off,Sprint 14,2,Needs rework,Defer
ADO-0075,REL011,Feature,"As a traveler, I need to complete training readiness for group booking special request intake.",Traveler,Refining,P2,71.4,51.3,6,None,Sprint 15,8,Not started,Clarify
ADO-0076,REL011,Epic,"As a reservations agent, I need to complete training readiness for group booking special request intake.",Reservations agent,Refining,P2,66.8,49.1,5,Business sign-off,Sprint 16,13,In progress,Ready for sprint
ADO-0077,REL012,User Story,"As a reservations agent, I need to validate rollback trigger for release notes stakeholder digest.",Reservations agent,Accepted,P1,89.1,71.8,4,Dynamics config,Sprint 17,3,Not started,Needs dependency
ADO-0078,REL012,Enabler,"As a tour operations specialist, I need to confirm acceptance criteria for release notes stakeholder digest.",Tour operations specialist,Committed,P1,96.3,70.2,3,Business sign-off,Sprint 12,2,Not started,Defer
ADO-0079,REL012,Enabler,"As a support lead, I need to confirm acceptance criteria for release notes stakeholder digest.",Support lead,Accepted,P1,74.4,52.0,4,ServiceNow mapping,Sprint 13,2,Not started,Needs dependency
ADO-0080,REL012,Enabler,"As a business sponsor, I need to validate rollback trigger for release notes stakeholder digest.",Business sponsor,New,P0,88.2,58.4,6,Dynamics config,Sprint 14,3,Needs rework,Clarify
ADO-0081,REL013,Enabler,"As a travel advisor, I need to route escalation for loyalty preference migration.",Travel advisor,In QA,P0,66.6,68.8,5,ServiceNow mapping,Sprint 15,8,Needs rework,Ready for sprint
ADO-0082,REL013,Feature,"As a product owner, I need to publish stakeholder update for loyalty preference migration.",Product owner,Refining,P1,78.5,90.3,8,ServiceNow mapping,Sprint 16,8,Needs rework,Ready for sprint
ADO-0083,REL013,User Story,"As a support lead, I need to confirm acceptance criteria for loyalty preference migration.",Support lead,Accepted,P2,85.4,97.9,5,None,Sprint 17,5,Not started,Needs dependency
ADO-0084,REL013,User Story,"As a tour operations specialist, I need to prioritize enhancement request for loyalty preference migration.",Tour operations specialist,Committed,P1,73.6,83.6,6,QA data,Sprint 12,8,Needs rework,Needs dependency
ADO-0085,REL013,Feature,"As a training coordinator, I need to complete training readiness for loyalty preference migration.",Training coordinator,Accepted,P1,77.5,63.8,8,None,Sprint 13,3,In progress,Defer
ADO-0086,REL013,Feature,"As a business sponsor, I need to complete training readiness for loyalty preference migration.",Business sponsor,Accepted,P2,69.1,58.0,7,QA data,Sprint 14,5,Passed,Accept
ADO-0087,REL013,Feature,"As a reservations agent, I need to complete training readiness for loyalty preference migration.",Reservations agent,Committed,P0,71.1,60.4,4,None,Sprint 15,13,Not started,Defer
ADO-0088,REL014,Enabler,"As a training coordinator, I need to confirm acceptance criteria for traveler feedback defect loop.",Training coordinator,Accepted,P2,80.0,98.0,6,ServiceNow mapping,Sprint 16,13,In progress,Ready for sprint
ADO-0089,REL014,Epic,"As a training coordinator, I need to route escalation for traveler feedback defect loop.",Training coordinator,Committed,P1,80.0,65.0,6,Dynamics config,Sprint 17,3,Passed,Clarify
ADO-0090,REL014,User Story,"As a traveler, I need to validate rollback trigger for traveler feedback defect loop.",Traveler,Accepted,P0,95.1,71.6,3,Dynamics config,Sprint 12,3,In progress,Defer
ADO-0091,REL014,User Story,"As a business sponsor, I need to validate rollback trigger for traveler feedback defect loop.",Business sponsor,Accepted,P2,87.5,87.3,4,ServiceNow mapping,Sprint 13,5,In progress,Ready for sprint
ADO-0092,REL014,Feature,"As a reservations agent, I need to prioritize enhancement request for traveler feedback defect loop.",Reservations agent,In QA,P0,77.0,85.7,2,Dynamics config,Sprint 14,3,Needs rework,Ready for sprint
ADO-0093,REL014,Feature,"As a reservations agent, I need to complete training readiness for traveler feedback defect loop.",Reservations agent,Committed,P0,80.3,76.7,4,Training owner,Sprint 15,8,Needs rework,Needs dependency
ADO-0094,REL015,User Story,"As a reservations agent, I need to complete training readiness for booking amendment rollback path.",Reservations agent,Ready,P0,61.1,81.5,10,Dynamics config,Sprint 16,13,Passed,Clarify
ADO-0095,REL015,User Story,"As a reservations agent, I need to confirm acceptance criteria for booking amendment rollback path.",Reservations agent,New,P2,60.0,93.6,7,Dynamics config,Sprint 17,3,In progress,Ready for sprint
ADO-0096,REL015,Enabler,"As a business sponsor, I need to complete training readiness for booking amendment rollback path.",Business sponsor,Ready,P0,57.3,68.9,3,Training owner,Sprint 12,3,Passed,Defer
ADO-0097,REL015,User Story,"As a traveler, I need to complete training readiness for booking amendment rollback path.",Traveler,Accepted,P1,56.6,100,5,Dynamics config,Sprint 13,3,Passed,Accept
ADO-0098,REL015,User Story,"As a support lead, I need to complete training readiness for booking amendment rollback path.",Support lead,New,P0,66.5,100,5,ServiceNow mapping,Sprint 14,13,Not started,Ready for sprint
ADO-0099,REL015,User Story,"As a product owner, I need to prioritize enhancement request for booking amendment rollback path.",Product owner,Ready,P2,63.6,100,6,Training owner,Sprint 15,8,Passed,Needs dependency
ADO-0100,REL015,Enabler,"As a support lead, I need to route escalation for booking amendment rollback path.",Support lead,Accepted,P2,68.0,91.1,5,Dynamics config,Sprint 16,8,Not started,Ready for sprint
ADO-0101,REL015,Epic,"As a traveler, I need to confirm acceptance criteria for booking amendment rollback path.",Traveler,Refining,P0,66.0,97.6,6,Training owner,Sprint 17,2,In progress,Clarify
ADO-0102,REL015,Epic,"As a travel advisor, I need to confirm acceptance criteria for booking amendment rollback path.",Travel advisor,Accepted,P2,53.2,97.4,2,Business sign-off,Sprint 12,8,Passed,Accept
ADO-0103,REL016,User Story,"As a traveler, I need to confirm acceptance criteria for destination availability rules.",Traveler,New,P1,60.9,95.8,3,Dynamics config,Sprint 13,3,Not started,Clarify
ADO-0104,REL016,User Story,"As a travel advisor, I need to prioritize enhancement request for destination availability rules.",Travel advisor,Accepted,P1,55.7,63.5,4,Training owner,Sprint 14,3,Needs rework,Defer
ADO-0105,REL016,Epic,"As a traveler, I need to complete training readiness for destination availability rules.",Traveler,Ready,P1,58.5,67.0,5,ServiceNow mapping,Sprint 15,3,In progress,Defer
ADO-0106,REL016,Feature,"As a business sponsor, I need to route escalation for destination availability rules.",Business sponsor,In QA,P1,68.7,67.3,2,QA data,Sprint 16,5,Needs rework,Ready for sprint
ADO-0107,REL017,Epic,"As a business sponsor, I need to route escalation for pre-departure service case routing.",Business sponsor,Ready,P2,89.7,85.5,5,None,Sprint 17,5,In progress,Clarify
ADO-0108,REL017,Enabler,"As a traveler, I need to prioritize enhancement request for pre-departure service case routing.",Traveler,New,P0,67.7,64.5,3,Training owner,Sprint 12,8,Not started,Ready for sprint
ADO-0109,REL017,User Story,"As a travel advisor, I need to publish stakeholder update for pre-departure service case routing.",Travel advisor,Ready,P1,71.3,41.5,6,ServiceNow mapping,Sprint 13,8,Needs rework,Ready for sprint
ADO-0110,REL017,User Story,"As a tour operations specialist, I need to confirm acceptance criteria for pre-departure service case routing.",Tour operations specialist,Ready,P0,75.2,100,4,QA data,Sprint 14,8,Needs rework,Needs dependency
ADO-0111,REL017,User Story,"As a reservations agent, I need to confirm acceptance criteria for pre-departure service case routing.",Reservations agent,Ready,P2,77.2,58.0,5,None,Sprint 15,3,Needs rework,Defer
ADO-0112,REL017,User Story,"As a reservations agent, I need to confirm acceptance criteria for pre-departure service case routing.",Reservations agent,Committed,P2,81.0,69.9,6,Training owner,Sprint 16,2,Needs rework,Defer
ADO-0113,REL018,User Story,"As a traveler, I need to complete training readiness for agile intake scoring model.",Traveler,Ready,P2,63.0,79.2,8,QA data,Sprint 17,13,In progress,Defer
ADO-0114,REL018,Feature,"As a reservations agent, I need to complete training readiness for agile intake scoring model.",Reservations agent,Accepted,P0,73.4,58.1,4,ServiceNow mapping,Sprint 12,5,Needs rework,Ready for sprint
ADO-0115,REL018,Enabler,"As a product owner, I need to route escalation for agile intake scoring model.",Product owner,Ready,P2,73.4,36.9,5,Training owner,Sprint 13,3,Passed,Needs dependency
ADO-0116,REL018,User Story,"As a business sponsor, I need to validate rollback trigger for agile intake scoring model.",Business sponsor,New,P1,85.9,71.3,2,ServiceNow mapping,Sprint 14,2,Needs rework,Ready for sprint
ADO-0117,REL018,Feature,"As a tour operations specialist, I need to validate rollback trigger for agile intake scoring model.",Tour operations specialist,Ready,P1,87.3,88.8,3,None,Sprint 15,8,Passed,Ready for sprint
ADO-0118,REL018,Feature,"As a tour operations specialist, I need to route escalation for agile intake scoring model.",Tour operations specialist,Ready,P1,71.0,48.9,3,Business sign-off,Sprint 16,2,Not started,Needs dependency
ADO-0119,REL018,Feature,"As a business sponsor, I need to capture exception evidence for agile intake scoring model.",Business sponsor,New,P2,72.0,50.6,5,ServiceNow mapping,Sprint 17,5,Needs rework,Needs dependency
ADO-0120,REL018,User Story,"As a business sponsor, I need to review release impact for agile intake scoring model.",Business sponsor,Ready,P2,81.7,57.6,5,Training owner,Sprint 12,5,Needs rework,Defer
